ID_Envio,Operador_Logistico,Tipo_Paquete,Tipo_Vehiculo,Modo_Envio,Zona,Clima,Distancia_Km,Peso_Kg,Tiempo_Real_Hs,Tiempo_Esperado_Hs,Con_Demora,Estado_Envio,Calificacion,Costo_Envio,Desvio_Hs
250.99,Amazon logistics,Farmacia,Motocicleta,Expreso,Oeste,Calor,51.6,23.45,2.0,3.0,No,Entregado,4,378.35,-1.0
250.99,Xpressbees,Electrónica,Furgoneta,Mismo día,Centro,Tormenta,26.9,29.86,5.0,8.0,No,Entregado,5,324.08,-3.0
250.99,Blue dart,Indumentaria,Camión,Expreso,Norte,Calor,216.7,26.89,7.0,6.0,Si,Demorado,2,1214.17,1.0
250.99,Dhl,Electrónica,Furgoneta,Estándar,Sur,Neblina,148.2,38.6,5.0,24.0,No,Entregado,4,856.8,-19.0
250.99,Fedex,Cosmética,Furgoneta,Mismo día,Sur,Despejado,184.2,46.79,5.0,8.0,No,Entregado,4,1161.37,-3.0
250.99,Delhivery,Electrónica,Motocicleta,Estándar,Centro,Frío,197.7,25.84,9.0,24.0,No,Entregado,5,1066.02,-15.0
250.99,Fedex,Cosmética,Furgoneta,Estándar,Norte,Neblina,211.9,46.94,7.0,24.0,No,Entregado,5,1200.32,-17.0
250.99,Blue dart,Farmacia,Motocicleta,Mismo día,Oeste,Tormenta,64.3,21.05,6.0,8.0,No,Entregado,5,484.65,-2.0
250.99,Xpressbees,Cosmética,Motocicleta,48 hs,Este,Calor,206.7,3.87,3.0,16.0,No,Entregado,4,1045.11,-13.0
250.99,Xpressbees,Indumentaria,Motocicleta,48 hs,Este,Frío,83.5,6.81,3.0,16.0,No,Entregado,5,437.93,-13.0
250.99,Ecom express,Frágil,Camión,Mismo día,Centro,Neblina,9.3,47.62,3.0,8.0,No,Entregado,5,289.36,-5.0
250.99,Xpressbees,Indumentaria,Motocicleta,Estándar,Oeste,Lluvia,245.9,47.01,12.0,24.0,No,Entregado,3,1370.53,-12.0
250.99,Dhl,Farmacia,Furgoneta,Expreso,Norte,Tormenta,225.7,45.7,8.0,6.0,Si,Demorado,2,1315.6,2.0
250.99,Ecom express,Farmacia,Motocicleta,Expreso,Este,Calor,226.0,37.62,7.0,6.0,Si,Demorado,2,1292.86,1.0
250.99,Dhl,Indumentaria,Motocicleta,48 hs,Oeste,Calor,113.3,34.03,4.0,16.0,No,Entregado,5,668.59,-12.0
250.99,Ecom express,Electrónica,Motocicleta,Expreso,Este,Frío,87.7,22.38,4.0,3.0,Si,Fallido,2,555.64,1.0
250.99,Dhl,Muebles,Furgoneta,Mismo día,Este,Lluvia,90.1,27.46,6.0,8.0,No,Entregado,4,632.88,-2.0
250.99,Delhivery,Cosmética,Motocicleta,Expreso,Norte,Lluvia,110.4,44.94,6.0,4.0,Si,Demorado,2,736.82,2.0
250.99,Fedex,Documentación,Motocicleta,Mismo día,Centro,Frío,217.3,3.03,6.0,8.0,No,Entregado,5,1195.59,-2.0
250.99,Amazon logistics,Muebles,Camión,Estándar,Sur,Lluvia,75.2,28.25,6.0,24.0,No,Entregado,3,460.75,-18.0
250.99,Blue dart,Autopartes,Motocicleta,48 hs,Sur,Calor,23.2,19.18,2.0,16.0,No,Entregado,5,173.54,-14.0
250.99,Fedex,Documentación,Furgoneta,Expreso,Norte,Lluvia,78.5,27.87,8.0,3.0,Si,Demorado,3,526.11,5.0
250.99,Blue dart,Documentación,Furgoneta,Expreso,Norte,Calor,138.3,47.87,8.0,4.0,Si,Demorado,3,885.11,4.0
250.99,Xpressbees,Indumentaria,Camión,48 hs,Norte,Frío,96.4,39.33,3.0,16.0,No,Entregado,4,599.99,-13.0
250.99,Fedex,Muebles,Furgoneta,Estándar,Oeste,Frío,216.2,23.93,11.0,24.0,No,Entregado,4,1152.79,-13.0
250.99,Ekart,Indumentaria,Furgoneta,Expreso,Sur,Tormenta,24.1,34.1,7.0,2.0,Si,Demorado,3,272.8,5.0
250.99,Ekart,Frágil,Motocicleta,Estándar,Este,Lluvia,197.1,28.23,13.0,24.0,No,Entregado,4,1070.19,-11.0
250.99,Shadowfax,Documentación,Motocicleta,Mismo día,Oeste,Neblina,94.8,10.02,2.0,8.0,No,Entregado,4,604.06,-6.0
250.99,Xpressbees,Farmacia,Motocicleta,Expreso,Sur,Calor,56.0,22.91,3.0,3.0,Si,Demorado,2,398.73,0.0
250.99,Ecom express,Indumentaria,Motocicleta,Mismo día,Este,Tormenta,70.7,5.72,8.0,8.0,Si,Demorado,3,470.66,0.0
250.99,Dhl,Documentación,Motocicleta,Mismo día,Este,Lluvia,60.4,22.93,6.0,8.0,No,Entregado,5,470.79,-2.0
250.99,Blue dart,Indumentaria,Camión,Mismo día,Centro,Tormenta,258.4,22.08,9.0,8.0,Si,Fallido,2,1458.24,1.0
250.99,Amazon logistics,Muebles,Motocicleta,48 hs,Centro,Frío,89.3,34.98,4.0,16.0,No,Entregado,4,551.44,-12.0
250.99,Shadowfax,Electrónica,Furgoneta,48 hs,Sur,Despejado,244.0,13.62,7.0,16.0,No,Entregado,4,1260.86,-9.0
250.99,Xpressbees,Electrónica,Camión,Estándar,Sur,Tormenta,87.8,19.77,8.0,24.0,No,Entregado,4,498.31,-16.0
250.99,Delhivery,Muebles,Motocicleta,Mismo día,Este,Tormenta,3.6,20.7,3.0,8.0,No,Entregado,4,172.6,-5.0
250.99,Ekart,Muebles,Furgoneta,48 hs,Sur,Frío,3.6,8.75,0.0,16.0,No,Entregado,3,95.6674,-16.0
250.99,Xpressbees,Documentación,Furgoneta,Estándar,Este,Lluvia,111.0,36.68,9.0,24.0,No,Entregado,4,665.04,-15.0
250.99,Amazon logistics,Cosmética,Furgoneta,48 hs,Este,Lluvia,204.2,8.09,9.0,16.0,No,Entregado,4,1045.27,-7.0
250.99,Amazon logistics,Muebles,Motocicleta,Estándar,Centro,Frío,125.0,39.41,4.0,24.0,No,Entregado,5,743.23,-20.0
250.99,Dhl,Frágil,Motocicleta,48 hs,Norte,Calor,83.3,34.71,4.0,16.0,No,Entregado,4,520.63,-12.0
250.99,Ecom express,Indumentaria,Furgoneta,Estándar,Oeste,Neblina,193.2,33.28,7.0,24.0,No,Entregado,4,1065.84,-17.0
250.99,Ekart,Indumentaria,Furgoneta,48 hs,Este,Neblina,174.3,47.29,10.0,16.0,No,Entregado,5,1013.37,-6.0
250.99,Xpressbees,Electrónica,Furgoneta,Expreso,Este,Despejado,166.4,44.96,6.0,5.0,Si,Demorado,2,1016.88,1.0
250.99,Shadowfax,Cosmética,Furgoneta,Estándar,Oeste,Tormenta,189.6,38.07,11.0,24.0,No,Entregado,5,1062.21,-13.0
250.99,Blue dart,Muebles,Motocicleta,Estándar,Este,Despejado,236.4,47.28,9.0,24.0,No,Entregado,4,1323.84,-15.0
250.99,Amazon logistics,Electrónica,Furgoneta,Mismo día,Centro,Despejado,111.9,26.34,5.0,8.0,No,Entregado,5,738.52,-3.0
250.99,Amazon logistics,Autopartes,Motocicleta,Estándar,Oeste,Despejado,235.6,48.07,5.0,24.0,No,Entregado,5,1322.21,-19.0
250.99,Amazon logistics,Farmacia,Camión,Mismo día,Sur,Frío,295.5,48.45,6.0,8.0,No,Entregado,4,1632.7206,-2.0
250.99,Amazon logistics,Farmacia,Camión,48 hs,Oeste,Neblina,56.3,43.65,5.0,16.0,No,Entregado,5,412.45,-11.0
250.99,Shadowfax,Muebles,Motocicleta,48 hs,Centro,Tormenta,114.2,28.82,6.0,16.0,No,Entregado,5,657.46,-10.0
250.99,Fedex,Muebles,Motocicleta,Mismo día,Norte,Calor,3.6,31.41,2.0,8.0,No,Entregado,4,203.23,-6.0
250.99,Xpressbees,Autopartes,Motocicleta,Mismo día,Oeste,Tormenta,146.2,22.55,9.0,8.0,Si,Fallido,2,898.65,1.0
250.99,Ekart,Autopartes,Motocicleta,Mismo día,Este,Despejado,85.6,10.69,3.0,8.0,No,Entregado,4,560.07,-5.0
250.99,Shadowfax,Autopartes,Motocicleta,Estándar,Sur,Neblina,274.8,0.82,9.0,24.0,No,Entregado,4,1376.46,-15.0
250.99,Fedex,Electrónica,Motocicleta,Estándar,Oeste,Despejado,35.7,10.8,3.0,24.0,No,Entregado,3,210.9,-21.0
250.99,Fedex,Documentación,Furgoneta,Expreso,Centro,Tormenta,259.3,27.01,8.0,7.0,Si,Fallido,1,1427.53,1.0
250.99,Shadowfax,Documentación,Motocicleta,Mismo día,Sur,Despejado,65.3,45.09,4.0,8.0,No,Entregado,5,561.77,-4.0
250.99,Delhivery,Cosmética,Furgoneta,Expreso,Sur,Despejado,93.1,20.89,2.0,3.0,No,Entregado,3,578.17,-1.0
250.99,Blue dart,Farmacia,Motocicleta,Estándar,Centro,Calor,265.8,32.11,9.0,24.0,No,Entregado,5,1425.33,-15.0
250.99,Ekart,Muebles,Camión,48 hs,Oeste,Despejado,110.2,23.24,4.0,16.0,No,Entregado,4,620.72,-12.0
250.99,Blue dart,Documentación,Motocicleta,Estándar,Oeste,Despejado,6.0,0.88,1.0,24.0,No,Entregado,4,95.6674,-23.0
250.99,Dhl,Muebles,Camión,48 hs,Este,Neblina,16.5,21.49,2.0,16.0,No,Entregado,4,146.97,-14.0
250.99,Xpressbees,Documentación,Furgoneta,Estándar,Norte,Frío,102.0,18.67,4.0,24.0,No,Entregado,4,566.01,-20.0
250.99,Shadowfax,Muebles,Motocicleta,Expreso,Norte,Lluvia,265.4,15.96,13.0,7.0,Si,Demorado,3,1424.88,6.0
250.99,Amazon logistics,Frágil,Camión,48 hs,Sur,Calor,59.5,7.79,2.0,16.0,No,Entregado,3,320.87,-14.0
250.99,Shadowfax,Cosmética,Motocicleta,Expreso,Norte,Frío,290.2,29.26,6.0,7.0,No,Entregado,4,1588.78,-1.0
250.99,Delhivery,Indumentaria,Motocicleta,Estándar,Este,Lluvia,124.0,40.2,8.0,24.0,No,Entregado,4,740.6,-16.0
250.99,Xpressbees,Autopartes,Motocicleta,48 hs,Norte,Despejado,261.9,41.68,9.0,16.0,No,Entregado,4,1434.54,-7.0
250.99,Shadowfax,Farmacia,Furgoneta,48 hs,Centro,Lluvia,115.6,13.57,8.0,16.0,No,Entregado,5,618.71,-8.0
250.99,Shadowfax,Muebles,Furgoneta,Estándar,Norte,Neblina,284.1,14.35,9.0,24.0,No,Entregado,4,1463.55,-15.0
250.99,Fedex,Indumentaria,Camión,Mismo día,Norte,Frío,287.0,8.21,10.0,8.0,Si,Fallido,1,1559.63,2.0
250.99,Delhivery,Electrónica,Furgoneta,48 hs,Norte,Neblina,50.5,31.28,2.0,16.0,No,Entregado,4,346.34,-14.0
250.99,Amazon logistics,Frágil,Camión,Mismo día,Oeste,Calor,127.8,20.03,2.0,8.0,No,Entregado,3,799.09,-6.0
250.99,Delhivery,Autopartes,Furgoneta,Estándar,Norte,Lluvia,152.8,48.37,6.0,24.0,No,Entregado,4,909.11,-18.0
250.99,Dhl,Autopartes,Furgoneta,Mismo día,Sur,Lluvia,29.0,40.89,5.0,8.0,No,Entregado,4,367.67,-3.0
250.99,Dhl,Muebles,Motocicleta,Estándar,Norte,Despejado,281.6,19.81,8.0,24.0,No,Entregado,3,1467.43,-16.0
250.99,Ecom express,Electrónica,Furgoneta,Mismo día,Este,Tormenta,75.7,41.47,8.0,8.0,Si,Demorado,2,602.91,0.0
250.99,Blue dart,Cosmética,Motocicleta,Estándar,Norte,Frío,132.5,14.18,3.0,24.0,No,Entregado,4,705.04,-21.0
250.99,Ekart,Cosmética,Camión,Estándar,Oeste,Lluvia,218.2,34.0,10.0,24.0,No,Entregado,5,1193.0,-14.0
250.99,Dhl,Autopartes,Motocicleta,Expreso,Este,Lluvia,152.8,10.46,8.0,5.0,Si,Demorado,2,845.38,3.0
250.99,Ecom express,Autopartes,Furgoneta,Mismo día,Oeste,Frío,113.8,21.95,4.0,8.0,No,Entregado,3,734.85,-4.0
250.99,Amazon logistics,Farmacia,Motocicleta,Estándar,Este,Despejado,189.3,30.78,7.0,24.0,No,Entregado,5,1038.84,-17.0
250.99,Delhivery,Electrónica,Camión,48 hs,Norte,Lluvia,60.1,40.63,5.0,16.0,No,Entregado,3,422.39,-11.0
250.99,Ekart,Documentación,Camión,Mismo día,Sur,Neblina,147.7,46.57,6.0,8.0,No,Entregado,4,978.21,-2.0
250.99,Amazon logistics,Cosmética,Camión,48 hs,Norte,Frío,289.0,48.99,6.0,16.0,No,Entregado,4,1591.97,-10.0
250.99,Delhivery,Farmacia,Furgoneta,Expreso,Norte,Frío,235.6,42.35,7.0,6.0,Si,Demorado,3,1355.05,1.0
250.99,Ecom express,Cosmética,Motocicleta,Estándar,Norte,Despejado,262.6,29.36,4.0,24.0,No,Entregado,4,1401.08,-20.0
250.99,Dhl,Indumentaria,Camión,Mismo día,Sur,Frío,280.3,15.29,7.0,8.0,No,Entregado,4,1547.37,-1.0
250.99,Shadowfax,Autopartes,Motocicleta,Mismo día,Este,Neblina,146.1,36.12,8.0,8.0,Si,Demorado,2,938.86,0.0
250.99,Shadowfax,Documentación,Furgoneta,Mismo día,Sur,Tormenta,165.4,43.2,11.0,8.0,Si,Demorado,2,1056.6,3.0
250.99,Fedex,Electrónica,Furgoneta,48 hs,Centro,Frío,29.9,47.31,2.0,16.0,No,Entregado,3,291.43,-14.0
250.99,Amazon logistics,Muebles,Camión,Estándar,Norte,Calor,42.6,44.55,1.0,24.0,No,Entregado,4,346.65,-23.0
250.99,Ecom express,Autopartes,Motocicleta,Estándar,Este,Neblina,149.9,23.31,10.0,24.0,No,Entregado,4,819.43,-14.0
250.99,Shadowfax,Indumentaria,Motocicleta,Estándar,Oeste,Lluvia,8.4,44.16,4.0,24.0,No,Entregado,4,174.48,-20.0
250.99,Dhl,Documentación,Motocicleta,48 hs,Este,Calor,230.8,30.01,6.0,16.0,No,Entregado,4,1244.03,-10.0
250.99,Dhl,Indumentaria,Motocicleta,Expreso,Oeste,Despejado,93.0,9.37,2.0,3.0,No,Entregado,4,543.11,-1.0
250.99,Dhl,Electrónica,Furgoneta,48 hs,Oeste,Despejado,10.4,4.59,1.0,16.0,No,Entregado,4,95.6674,-15.0
250.99,Amazon logistics,Farmacia,Camión,48 hs,Norte,Calor,194.9,2.42,4.0,16.0,No,Entregado,4,981.76,-12.0
250.99,Ekart,Documentación,Motocicleta,Expreso,Oeste,Lluvia,182.1,2.26,11.0,5.0,Si,Demorado,2,967.28,6.0
250.99,Blue dart,Cosmética,Motocicleta,Estándar,Sur,Despejado,38.8,40.89,3.0,24.0,No,Entregado,4,316.67,-21.0
250.99,Delhivery,Farmacia,Camión,Expreso,Este,Tormenta,223.3,44.36,12.0,6.0,Si,Fallido,1,1299.58,6.0
250.99,Delhivery,Electrónica,Camión,Expreso,Oeste,Calor,46.2,14.83,2.0,2.0,No,Entregado,5,325.49,0.0
250.99,Delhivery,Documentación,Motocicleta,48 hs,Sur,Calor,3.6,49.52,1.0,16.0,No,Entregado,5,163.39,-15.0
250.99,Xpressbees,Electrónica,Motocicleta,Expreso,Centro,Calor,87.8,7.72,3.0,3.0,No,Entregado,5,512.16,0.0
250.99,Fedex,Muebles,Furgoneta,48 hs,Este,Tormenta,124.8,10.84,10.0,16.0,No,Entregado,4,656.52,-6.0
250.99,Blue dart,Muebles,Motocicleta,48 hs,Centro,Calor,129.5,39.84,4.0,16.0,No,Entregado,4,767.02,-12.0
250.99,Ecom express,Frágil,Furgoneta,Mismo día,Sur,Neblina,225.0,7.32,11.0,8.0,Si,Demorado,3,1246.96,3.0
250.99,Fedex,Cosmética,Motocicleta,Estándar,Sur,Tormenta,289.7,24.36,14.0,24.0,No,Entregado,5,1521.58,-10.0
250.99,Ecom express,Electrónica,Motocicleta,Estándar,Sur,Lluvia,85.4,41.07,7.0,24.0,No,Entregado,4,550.21,-17.0
250.99,Blue dart,Farmacia,Camión,Mismo día,Este,Calor,9.9,30.24,0.0,8.0,No,Entregado,3,240.22,-8.0
250.99,Fedex,Autopartes,Furgoneta,Estándar,Oeste,Calor,135.1,37.59,4.0,24.0,No,Entregado,5,788.27,-20.0
250.99,Xpressbees,Frágil,Motocicleta,Estándar,Sur,Tormenta,228.6,5.64,9.0,24.0,No,Entregado,4,1159.92,-15.0
250.99,Fedex,Documentación,Camión,Expreso,Norte,Lluvia,169.6,41.44,9.0,5.0,Si,Demorado,3,1022.32,4.0
250.99,Fedex,Frágil,Furgoneta,Expreso,Centro,Neblina,250.7,29.97,10.0,7.0,Si,Fallido,2,1393.41,3.0
250.99,Blue dart,Frágil,Motocicleta,48 hs,Norte,Lluvia,80.7,0.67,7.0,16.0,No,Entregado,4,404.76,-9.0
250.99,Ekart,Frágil,Motocicleta,48 hs,Norte,Despejado,67.1,32.91,2.0,16.0,No,Entregado,4,434.23,-14.0
250.99,Ekart,Farmacia,Motocicleta,Estándar,Oeste,Neblina,69.4,0.99,5.0,24.0,No,Entregado,3,349.97,-19.0
250.99,Xpressbees,Cosmética,Furgoneta,48 hs,Sur,Frío,101.2,39.37,2.0,16.0,No,Entregado,5,624.11,-14.0
250.99,Shadowfax,Cosmética,Motocicleta,48 hs,Norte,Lluvia,94.2,49.37,5.0,16.0,No,Entregado,4,619.11,-11.0
250.99,Shadowfax,Frágil,Motocicleta,Mismo día,Norte,Neblina,71.0,32.56,5.0,8.0,No,Entregado,3,552.68,-3.0
250.99,Dhl,Autopartes,Camión,48 hs,Este,Neblina,37.4,42.36,3.0,16.0,No,Entregado,4,314.08,-13.0
250.99,Ecom express,Frágil,Motocicleta,48 hs,Norte,Frío,157.0,43.03,3.0,16.0,No,Entregado,4,914.09,-13.0
250.99,Dhl,Farmacia,Motocicleta,Expreso,Centro,Frío,272.6,12.84,8.0,7.0,Si,Demorado,2,1451.52,1.0
250.99,Blue dart,Farmacia,Motocicleta,Expreso,Sur,Tormenta,83.5,24.02,7.0,3.0,Si,Demorado,2,539.56,4.0
250.99,Dhl,Frágil,Camión,Expreso,Centro,Neblina,198.5,20.1,4.0,5.0,No,Entregado,5,1102.8,-1.0
250.99,Dhl,Documentación,Camión,Mismo día,Norte,Despejado,265.3,31.8,5.0,8.0,No,Entregado,5,1521.9,-3.0
250.99,Ecom express,Cosmética,Camión,Expreso,Este,Tormenta,208.8,22.83,9.0,6.0,Si,Demorado,2,1162.49,3.0
250.99,Fedex,Autopartes,Motocicleta,Expreso,Este,Lluvia,55.7,46.5,3.0,3.0,Si,Fallido,1,468.0,0.0
250.99,Xpressbees,Autopartes,Furgoneta,Estándar,Este,Neblina,80.6,45.16,4.0,24.0,No,Entregado,3,538.48,-20.0
250.99,Fedex,Indumentaria,Motocicleta,Mismo día,Este,Tormenta,187.7,6.69,13.0,8.0,Si,Demorado,3,1058.57,5.0
250.99,Ekart,Autopartes,Motocicleta,Estándar,Sur,Neblina,225.6,22.83,9.0,24.0,No,Entregado,5,1196.49,-15.0
250.99,Xpressbees,Frágil,Camión,Expreso,Este,Lluvia,24.5,0.67,5.0,2.0,Si,Demorado,2,174.12,3.0
250.99,Ecom express,Indumentaria,Motocicleta,Estándar,Oeste,Lluvia,194.3,29.51,6.0,24.0,No,Entregado,4,1060.03,-18.0
250.99,Ekart,Electrónica,Furgoneta,Expreso,Centro,Neblina,52.0,43.18,6.0,3.0,Si,Demorado,3,439.54,3.0
250.99,Amazon logistics,Indumentaria,Furgoneta,Mismo día,Norte,Despejado,282.9,31.33,8.0,8.0,Si,Demorado,2,1608.49,0.0
250.99,Ekart,Autopartes,Furgoneta,Mismo día,Norte,Frío,289.2,16.14,9.0,8.0,Si,Fallido,1,1594.42,1.0
250.99,Xpressbees,Cosmética,Motocicleta,Estándar,Este,Frío,257.9,45.92,5.0,24.0,No,Entregado,3,1427.26,-19.0
250.99,Amazon logistics,Farmacia,Furgoneta,Mismo día,Este,Calor,258.3,42.79,12.0,8.0,Si,Demorado,2,1519.87,4.0
250.99,Fedex,Farmacia,Furgoneta,Expreso,Centro,Lluvia,288.4,44.12,9.0,7.0,Si,Demorado,2,1624.36,2.0
250.99,Ekart,Autopartes,Furgoneta,Mismo día,Sur,Tormenta,157.3,4.51,9.0,8.0,Si,Demorado,2,900.03,1.0
250.99,Delhivery,Indumentaria,Furgoneta,Estándar,Centro,Lluvia,41.0,29.25,6.0,24.0,No,Entregado,5,292.75,-18.0
250.99,Delhivery,Documentación,Furgoneta,Estándar,Centro,Neblina,137.4,27.87,7.0,24.0,No,Entregado,3,770.61,-17.0
250.99,Fedex,Indumentaria,Motocicleta,Estándar,Norte,Despejado,32.3,46.58,1.0,24.0,No,Entregado,4,301.24,-23.0
250.99,Ecom express,Frágil,Furgoneta,Expreso,Centro,Despejado,207.8,40.12,6.0,6.0,Si,Demorado,2,1209.36,0.0
250.99,Blue dart,Muebles,Furgoneta,Estándar,Sur,Neblina,23.6,12.4,3.0,24.0,No,Entregado,4,155.2,-21.0
250.99,Fedex,Cosmética,Motocicleta,Estándar,Sur,Despejado,258.0,37.92,8.0,24.0,No,Entregado,4,1403.76,-16.0
250.99,Xpressbees,Autopartes,Furgoneta,Mismo día,Norte,Frío,255.6,18.93,7.0,8.0,No,Entregado,5,1434.79,-1.0
